yr2016,yr2017,yr2018,yr2019,yr2020,hour
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,2
0,0,0,0,0,3
0,0,0,0,0,4
0.006593407,0.007032967,0.004945055,0.005494505,0.006373626,5
14.56010989,16.02032967,14.53450549,16.08846154,15.62120879,6
87.62868132,92.88252747,93.71505495,99.20879121,89.61494505,7
211.7727473,234.2359341,235.6867033,242.3915385,223.7989011,8
351.8956044,392.8778022,389.6128571,392.5696703,371.7727473,9
483.7023077,519.8637363,518.1253846,529.5368132,484.9776923,10
585.7945055,615.411978,629.9715385,646.1614286,595.0397802,11
644.2706593,677.9984615,685.3113187,699.0935165,657.032967,12
650.9158242,678.63,684.2656044,701.5247253,673.4656044,13
604.0952747,642.6659341,630.3175824,656.3491209,612.6712088,14
507.9835165,541.9491209,552.1941758,542.6358242,519.9649451,15
399.9575824,416.8058242,430.4630769,416.7845055,400.4961538,16
245.4871429,275.8493407,276.5972527,267.0038462,250.4525275,17
113.7743956,129.4958242,129.3071429,126.0665934,113.6225275,18
22.51,25.46472527,25.63835165,23.88483516,23.08802198,19
0.304725275,0.323406593,0.303406593,0.283736264,0.281538462,20
0,0,0,0,0,21
0,0,0,0,0,22
0,0,0,0,0,23
